MAPA,Estatus,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,AMBITO,LAT_DECIMAL,LON_DECIMAL,ALTITUD,CVE_CARTA,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
90020001,,9,Ciudad de México,CDMX,2,Azcapotzalco,1,Azcapotzalco,U,19.484102,-99.18436,2244,E14A39,432205,204950,227255,134204
90030001,,9,Ciudad de México,CDMX,3,Coyoacán,1,Coyoacán,U,19.350214,-99.162146,2247,E14A39,614447,289110,325337,191646
90040001,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,U,19.35735,-99.299792,2780,E14A39,186693,89078,97615,52530
90040010,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,10,Cruz Blanca,R,19.317784,-99.32401,2985,E14A39,728,366,362,192
90040020,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,20,San Lorenzo Acopilco,U,19.331004,-99.325681,2937,E14A39,26042,12626,13416,6627
90040050,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,50,La Venta,R,19.334375,-99.310213,2863,E14A39,486,216,270,124
90040054,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,54,Puerto las Cruces (Monte las Cruces),R,19.294861,-99.347621,3200,E14A38,1233,585,648,323
90040055,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,55,Teopazulco,R,19.345926,-99.323115,2941,E14A39,80,40,40,23
90040056,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,56,Valle de las Monjas,R,19.338563,-99.293242,2666,E14A39,108,61,47,32
90040057,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,57,Prolongación Constitución,R,19.352651,-99.326671,2712,E14A39,131,66,65,32
90040058,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,58,Paraje Río Borracho,R,19.349437,-99.328236,2696,E14A39,80,36,44,21
90040059,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,59,El Zarco,R,19.293255,-99.354391,3141,E14A38,24,12,12,9
90040060,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,60,La Bolsa (El Encinal),R,19.339002,-99.301741,2783,E14A39,9,*,*,2
90040062,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,62,Los Campesinos [Rancho],R,19.305,-99.344662,3056,E14A38,29,15,14,5
90040063,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,63,Santa Rosa,R,19.323321,-99.29508,2860,E14A39,818,404,414,204
90040064,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,64,Paraje Cerro de los Padres,R,19.364182,-99.316977,2846,E14A39,12,*,*,1
90040066,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,66,Santa Laura [Rancho],R,19.343551,-99.319482,2723,E14A39,38,25,13,14
90040067,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,67,La Papa [Escuela Niños Héroes],R,19.34522,-99.312826,2853,E14A39,4,*,*,1
90040068,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,68,Convento del Desierto de los Leones,R,19.313611,-99.310278,2977,E14A39,0,0,0,0
90040069,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,69,La Troje,R,19.326977,-99.318271,2834,E14A39,0,0,0,0
90040070,,9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,70,Punta Galicia,R,19.374896,-99.303373,2538,E14A39,438,231,207,119
