año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2019,1,9,Ciudad de México,,No distribuido,4,2,1,1,,,,,0,467420
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,2,4,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,4,4,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,3,4,1,143343.42
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,4,3753560.39
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,5,3,2531779.42
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,2,4,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,3,4,1,246650.9
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,4,1,480901.89
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,5,1,900161.09
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,4,2,935717.64
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,5,4,2419164.76
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,1,6,4,1,1513381.07
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,2,6,4,2,2637869.29
2019,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,2,4,4,1,396530.76
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,1,,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,2,,3,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,3,,2,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,4,,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,1,,4,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,2,,6,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,3,,2,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,4,,2,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,5,,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,1,,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,1,,2,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,2,,3,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,3,,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,1,1,2,179327.19
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,2,1,4,397526.45
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,3,1,4,535103.26
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,3,2,1,311656.07
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,6,1,1,218287.96
2019,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,4,1,1,222599.89
2019,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,6,5,1,693603.75
2019,1,9,Ciudad de México,2,Azcapotzalco,1,4,4,1,2,2,1,1,1,240125.6
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,1,5,4,1,1190000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,4,4,1,622405
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,6,4,3,3961813
