año,mes,cve_ent,entidad,cve_mun,minicipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2023,1,9,Ciudad de México,,No distribuido,4,2,1,1,,,,,0,629971
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,1,4,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,3,4,1,1451389.82
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,4,5,1,528495.22
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,5,4,1,598702.95
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,5,5,1,707279.81
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,2,1582687.43
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,5,6,9616797.62
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,1,5,3,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,4,5,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,3,4,1,304848.67
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,4,5,1,538017.28
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,4,2,1599033.95
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,5,1,680977.3
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,4,3,2486292.9
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,5,2,2256775.9
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,6,1,1093831.76
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,2,1,4,1,222760.36
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,2,6,4,1,1718803.31
2023,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,2,5,4,1,1353155.9
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,4,,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,6,,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,1,,8,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,2,,5,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,3,,3,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,4,,2,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,5,,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,6,,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,2,,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,1,,4,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,2,,4,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,4,,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,1,2,2,3,1,560329.71
2023,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,2,2,2,3,1,456656.39
2023,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,2,2,3,3,1,728343.89
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,2,3,1,662630
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,3,3,1,735045
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,2,2,3,3,1,629078
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,2,2,4,4,1,1383550
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,2,2,6,5,1,2210534
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,1,6,4,1,1440000
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,2,4,5,1,1984422
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,2,5,5,1,2155330
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,2,6,4,1,1908900
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,2,6,5,4,8037046
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,2,5,1,2400000
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,4,4,2,2678523
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,5,4,2,2472413
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,5,5,2,3684372
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,6,4,1,1985029
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,6,5,2,7755414
2023,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,3,4,4,1,1832049
2023,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,1,1,1,1,36333
2023,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,1,4,1,1,57869
2023,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,2,1,1,8,328312
2023,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,2,2,1,3,286200
2023,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,2,3,1,1,138649
2023,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,2,4,1,1,128857
2023,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,2,1,1,1,1,23457
2023,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,2,2,1,1,5,200074
2023,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,1,2,6,5,1,2320000
2023,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,2,2,5,5,1,1450000
2023,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,2,3,3,4,1,621306
2023,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,1,2,4,5,1,1643380
2023,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,2,2,4,3,1,913924
2023,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,1,2,4,5,1,1148311
2023,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,1,2,6,6,1,3000000
2023,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,1,3,3,4,1,1358379.14
2023,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,2,,,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,2,2,,,1,0
2023,1,9,Ciudad de México,2,Azcapotzalco,6,3,11,1,1,1,,1,0,0
2023,1,9,Ciudad de México,2,Azcapotzalco,6,3,11,1,1,2,,1,2,3000
2023,1,9,Ciudad de México,2,Azcapotzalco,6,3,11,1,1,3,,1,0,0
2023,1,9,Ciudad de México,2,Azcapotzalco,6,3,11,1,2,1,,1,1,1500
2023,1,9,Ciudad de México,2,Azcapotzalco,6,3,11,1,2,2,,1,5,7500
2023,1,9,Ciudad de México,2,Azcapotzalco,6,3,11,1,2,3,,1,3,4500
2023,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,,,6,1,0
2023,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,,1,5,2,0
2023,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,2,6,5,1,1189823.63
2023,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,2,,1,4,1,0
2023,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,2,,6,6,1,0
2023,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,2,2,6,5,2,1741863.14
2023,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,1,2,,1,0
2023,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,1,4,,1,0
2023,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,1,,2,0
2023,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,2,,3,0
2023,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,3,,5,0
2023,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,4,,1,0
2023,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,1,,2,0
2023,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,2,,2,0
2023,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,5,,1,0
2023,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,2,6,5,1,595723
2023,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,2,6,6,1,2547418.08
2023,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,2,2,6,4,1,983696.12
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,2,1,2,4,4,1,1059424
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,2,2,2,1,3,1,338617
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,1,6,6,1,4460400
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,3,5,1,3725100
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,4,5,1,2213534
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,6,4,1,1381177
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,6,5,2,6419940
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,2,6,6,7,50671769
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,3,4,6,1,1000000
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,1,3,6,6,1,3999999
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,1,3,5,1,1500000
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,2,4,6,1,2500000
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,2,6,5,1,3275000
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,2,6,6,3,27485800
2023,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,2,3,6,5,1,2327240
2023,1,9,Ciudad de México,3,Coyoacán,2,1,5,1,2,2,6,6,1,2800000
2023,1,9,Ciudad de México,3,Coyoacán,2,2,1,1,1,1,3,1,1,85988
2023,1,9,Ciudad de México,3,Coyoacán,2,2,1,1,1,2,1,1,8,336042
2023,1,9,Ciudad de México,3,Coyoacán,2,2,1,1,1,2,2,1,1,63331
2023,1,9,Ciudad de México,3,Coyoacán,2,2,1,1,2,2,1,1,1,39488
2023,1,9,Ciudad de México,3,Coyoacán,2,2,1,1,2,2,3,1,1,138649
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,1,1,4,6,1,1075880
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,1,2,3,4,1,1300000
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,1,2,5,5,1,3000000
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,1,2,6,5,2,5352855
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,1,2,6,6,3,27519000
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,1,3,6,6,1,7920000
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,2,2,4,4,1,1500000
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,2,2,6,4,1,1437300
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,2,2,6,5,1,1800000
2023,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,2,3,6,6,1,2566272
2023,1,9,Ciudad de México,3,Coyoacán,2,4,4,1,1,2,6,5,2,4340012
2023,1,9,Ciudad de México,3,Coyoacán,2,4,4,1,1,2,6,6,1,4487314
2023,1,9,Ciudad de México,3,Coyoacán,2,4,6,1,1,2,6,6,1,3159049
2023,1,9,Ciudad de México,3,Coyoacán,2,4,6,1,1,3,4,6,1,6934000
2023,1,9,Ciudad de México,3,Coyoacán,2,4,6,1,1,3,6,6,1,1000000
2023,1,9,Ciudad de México,3,Coyoacán,2,4,6,1,2,2,6,5,1,1800000
2023,1,9,Ciudad de México,3,Coyoacán,2,4,6,1,2,2,6,6,1,811904
2023,1,9,Ciudad de México,3,Coyoacán,2,4,7,1,2,2,6,5,1,1916545
2023,1,9,Ciudad de México,3,Coyoacán,3,3,3,2,1,2,4,5,1,136465.89
2023,1,9,Ciudad de México,3,Coyoacán,3,3,3,2,2,2,2,6,1,420632.78
2023,1,9,Ciudad de México,3,Coyoacán,4,2,1,1,2,2,,,2,0
2023,1,9,Ciudad de México,3,Coyoacán,6,3,11,1,1,1,,1,9,27000
2023,1,9,Ciudad de México,3,Coyoacán,6,3,11,1,1,2,,1,15,45000
2023,1,9,Ciudad de México,3,Coyoacán,6,3,11,1,1,3,,1,8,24000
2023,1,9,Ciudad de México,3,Coyoacán,6,3,11,1,2,1,,1,13,39000
2023,1,9,Ciudad de México,3,Coyoacán,6,3,11,1,2,2,,1,32,97000
2023,1,9,Ciudad de México,3,Coyoacán,6,3,11,1,2,3,,1,3,9000
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,1,,,6,1,0
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,1,,1,5,1,0
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,1,2,6,6,1,1534363.2
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,2,,1,4,1,0
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,2,,1,6,2,0
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,2,2,6,5,1,614423.61
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,1,2,2,,1,0
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,2,1,2,,1,0
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,2,2,1,,1,0
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,2,2,3,,3,0
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,3,3,2,1,2,5,4,1,2088933.14
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,3,3,2,1,2,6,5,1,2479634.5
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,3,3,2,2,2,4,4,1,443576.11
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,2,1,2,4,4,1,957563
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,2,1,2,6,5,1,3901000
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,2,2,2,6,5,1,983650
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,1,1,2,6,6,3,15734800
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,1,1,3,6,6,1,8561273
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,1,2,2,4,4,1,2046600
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,1,2,2,6,5,1,1220170
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,1,2,2,6,6,2,10440000
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,2,1,1,1,2,1,1,1,52944
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,2,1,1,2,1,1,1,1,21223
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,2,1,1,2,2,1,1,2,67266
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,3,3,1,1,1,6,5,1,2320235
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,3,3,1,1,2,3,4,1,1100000
2023,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,3,3,1,1,2,6,5,1,3000000
